City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
469,sungai raya,0.7,108.9,25.610000000000014,88,100,1.66,ID,1697233859
470,pangody,65.85,74.4859,1.080000000000041,98,100,4.79,RU,1697233860
471,nagato,34.3833,131.2,18.77000000000004,63,100,1.44,JP,1697233695
472,tsiombe,-25.3,45.4833,23.370000000000005,85,85,2.4,MG,1697233860
473,tazacorte,28.629,-17.9293,28.970000000000027,24,0,3.58,ES,1697233860
474,toropets,56.4978,31.6353,7.57000000000005,80,100,4.12,RU,1697233861
475,grudki,53.0949,23.6685,15.57000000000005,79,100,6.99,PL,1697233861
476,taoudenni,22.6783,-3.9836,29.980000000000018,14,0,4.75,ML,1697233861
477,taro,-8.3862,115.28,22.0,96,71,0.36,ID,1697233861
478,guane,22.2025,-84.0875,29.33000000000004,74,100,2.75,CU,1697233862
479,zambezi,-13.5432,23.1047,22.57000000000005,59,68,2.02,ZM,1697233862
480,port blair,11.6667,92.75,25.02000000000004,100,20,1.03,IN,1697233862
481,tolga,34.7222,5.3785,24.450000000000045,26,0,2.93,DZ,1697233863
482,kathmandu,27.7167,85.3167,18.120000000000005,94,75,1.54,NP,1697233863
483,gadag,15.4167,75.6167,24.910000000000025,58,98,5.02,IN,1697233863
484,moussoro,13.6408,16.4901,34.150000000000034,18,20,3.29,TD,1697233863
485,sao miguel,-5.4667,-35.3667,26.430000000000007,83,6,8.1,BR,1697233864
486,zhanibek,49.4167,46.85,10.970000000000027,53,100,3.38,KZ,1697233864
487,palikir - national government center,6.9248,158.1611,27.189999999999998,75,100,2.02,FM,1697233864
488,sassenburg,52.5167,10.6333,21.760000000000048,88,99,7.49,DE,1697233864
489,armavir,44.9892,41.1234,12.600000000000023,42,68,1.48,RU,1697233864
490,icod de los vinos,28.3724,-16.7119,29.150000000000034,23,13,2.83,ES,1697233865
491,gaspe,48.8334,-64.4819,11.950000000000045,93,100,1.03,CA,1697233851
492,kolonia,50.9333,6.95,21.650000000000034,68,100,1.34,DE,1697233863
493,hauterive,46.0901,3.4459,23.420000000000016,58,98,3.71,FR,1697233865
494,mount pleasant,32.7941,-79.8626,23.120000000000005,97,100,3.09,US,1697233866
495,linares,-35.85,-71.6,16.379999999999995,73,100,2.1,CL,1697233866
496,tadine,-21.55,167.8833,20.79000000000002,90,100,7.06,NC,1697233757
497,mareeba,-17.0,145.4333,21.360000000000014,75,44,1.64,AU,1697233866
